1	224.243
1.5	195.542
2	175.042
2.5	161.588
3	146.731
3.5	143.162
4	146.276
4.5	148.437
5	156.143
5.5	165.835
6	159.904
6.5	159.85
7.5	146.759
8.5	147.44
9.5	152.071
10.5	150.293
11.5	152.239
12.5	149.41
13.5	144.021
14.5	147.185
15.5	147.775
16.5	141.045
17.5	145.671
18.5	137.343
19.5	149.656
20.5	154.88
21.5	150.506
22.5	154.854
23.5	157.459
24.5	161.726
25.5	159.633
26.5	148.201
27.5	143.676
28.5	145.078
29.5	143.801
30.5	142.823
31.5	132.664
32.5	123.697
33.5	132.104
34.5	137.891
35.5	147.008
36.5	144.659
37.5	154.04
38.5	160.929
39.5	158.139
40.5	156.442
41.5	161.713
42.5	178.041
43.5	173.306
44.5	178.283
45.5	166.137
46.5	167.401
47.5	150.334
48.5	150.38
49.5	139.163
50.5	137.15
51.5	139.115
52.5	128.63
53.5	129.39
54.5	125.376
55.5	133.259
56.5	134.946
57.5	144.067
58.5	144.892
59.5	158.753
60.5	157.783
61.5	167.017
62.5	172.064
63.5	165.613
64.5	176.832
65.5	174.733
66.5	167.197
67.5	172.485
68.5	164.898
69.5	166.925
70.5	161.035
71.5	154.37
72.5	164.318
73.5	162.513
74.5	152.762
75.5	162.51
76.5	162.232
77.5	149.822
78.5	154.842
79.5	152.112
80.5	147.043
81.5	134.993
82.5	130.447
83.5	132.207
84.5	132.377
85.5	131.985
86.5	135.56
87.5	133.945
88.5	138.387
89.5	154.644
90.5	155.799
91.5	151.375
92.5	159.747
93.5	164.75
94.5	161.599
95.5	164.703
96.5	168.743
97.5	164.168
98.5	176.018
99.5	173.722
100.5	156.028
101.5	155.404
102.5	152.611
103.5	153.546
104.5	152.665
105.5	146.303
106.5	152.675
107.5	148.985
108.5	142.233
109.5	148.391
110.5	138.517
111.5	129.745
112.5	137.479
113.5	140.474
114.5	136.636
115.5	147.757
116.5	151.601
117.5	154.543
118.5	149.39
119.5	142.139
120.5	134.235
121.5	136.855
122.5	135.955
123.5	144.159
124.5	144.102
125.5	129.397
126.5	135.509
127.5	131.283
128.5	129.732
129.5	133.618
130.5	132.609
131.5	139.064
132.5	145.763
133.5	136.808
134.5	131.63
135.5	125.675
136.5	124.131
137.5	136.347
138.5	129.325
